id,source,destination,mode,distance_km,travel_time_min,co2_kg,cost_rs,aqi
ab08311c-2916-4493-99f5-aeca4cd54185,Mumbai,Mumbai,car,37.48,70.47,4.2962,420.02,130
20b06f1c-99a7-4efd-ae01-a64b35a5782a,Mumbai Suburban,Mumbai,auto,46.29,83.98,3.7639,410.85,228
ad86d865-9609-4ab7-9a06-3808110ea41b,Mumbai,Mumbai,car,28.65,64.03,4.102,204.52,94
1edc52d9-79ca-43c3-b1c7-805ce0f2d422,South Mumbai,South Mumbai,walking,18.83,280.9,0.0,0.0,87
225812d0-ebae-4892-983b-c91d231a63f3,South Mumbai,South Mumbai,walking,12.72,113.88,0.0,0.0,141
add759eb-f010-48c5-9aaa-eeeced70f871,Mumbai,Mumbai Suburban,auto,26.98,49.91,2.763,262.52,154
e524b3f8-4e98-4159-960b-78792e0658c5,Mumbai,Navi Mumbai,train,43.52,51.68,2.4844,155.36,170
d77bd69b-0eb5-4202-aeca-32080929e3e6,Mumbai,Mumbai Suburban,auto,44.25,97.58,3.724,271.97,171
e1de9bac-6b77-4a66-a128-047c008770e5,Mumbai,Mumbai,ev,40.41,79.07,2.0142,297.42,243
da20a5aa-6368-4456-91f9-2e6283c8e5f7,Navi Mumbai,Mumbai Suburban,train,12.99,13.22,0.9277,30.51,88
37884a29-2739-4ee6-aadc-7862847abb1f,Mumbai Suburban,Mumbai Suburban,train,31.63,32.49,1.7645,70.86,249
1b3f5add-ba72-4788-b30d-f959ff0395a4,South Mumbai,Mumbai,car,46.84,104.78,6.1151,517.47,65
cfd3e32a-3130-4481-a15a-0df57cf44130,Mumbai,Mumbai,walking,7.01,67.04,0.0,0.0,140
d33cef85-ccd1-4e92-8d55-19b6de012bbf,Navi Mumbai,Mumbai,ev,8.0,15.46,0.2362,61.5,183
7d1184a6-62d1-445e-a3a9-dff9b350bee0,Navi Mumbai,Mumbai,bus,27.71,55.74,2.3519,58.38,195
580341f4-4308-4afe-829d-82857cc5049c,Mumbai,South Mumbai,ev,26.72,41.74,0.9102,156.54,217
34e549a8-89b5-44d2-b4c7-6d53ac4c6fa5,Mumbai,Mumbai,car,40.2,54.77,4.1928,480.48,148
4098a78d-421a-4084-a597-f1007ab15c11,Mumbai,Navi Mumbai,car,5.88,8.11,0.6732,66.88,127
1e013585-727d-4801-a271-a1d2a793e528,South Mumbai,Mumbai Suburban,auto,3.76,9.84,0.4151,26.7,243
063f613b-17ea-481b-873e-5104b8a2d88b,Mumbai,Mumbai,train,37.72,40.73,2.674,142.83,108
ca885653-95a7-49a7-8d06-7ccef43e64ff,South Mumbai,South Mumbai,walking,39.59,420.97,0.0,0.0,154
ffadda8c-6cba-4d3c-87ce-2b626ddb3ec9,Navi Mumbai,Mumbai,ev,14.97,40.66,0.6373,77.42,82
00b0f35e-61e3-422c-9d83-52277ba2df1b,Mumbai,Mumbai,walking,46.79,433.01,0.0,0.0,140
46a044fa-7c20-4fc1-a903-fbdcc1bc0817,Mumbai,Mumbai Suburban,ev,5.54,12.66,0.18,39.05,241
acfa2f4f-ddc6-4b3d-9533-280631cec8d0,Mumbai,Mumbai,walking,28.08,353.41,0.0,0.0,180
7a646894-b309-4f2c-b8fd-ef66730cceed,Mumbai,Mumbai,auto,38.62,105.55,2.71,227.26,127
979df519-a21e-4bb9-be7f-20bfa2d2818b,Navi Mumbai,Mumbai Suburban,train,11.42,10.95,0.8641,42.34,126
669e0879-b453-4d67-8571-05a38a779a31,South Mumbai,Mumbai,bus,14.4,27.83,1.058,28.78,267
0b02db3f-7214-4962-9d40-21868ccadae7,South Mumbai,South Mumbai,car,1.96,3.8,0.1759,14.29,123
a34dbf8d-217f-47f6-9dcf-59c100507923,Mumbai Suburban,Mumbai Suburban,auto,44.65,110.15,3.8449,265.32,191
45278b10-4005-4cac-9665-38210bae9859,Navi Mumbai,Mumbai,bus,39.48,132.03,3.6774,56.8,235
35535de7-a1f5-4ad2-a5c3-ef0660413088,Mumbai,Mumbai,bus,2.78,6.92,0.1676,5.62,98
34ba65c8-9787-4173-ba28-ff1f1dddb8cf,Mumbai Suburban,Mumbai Suburban,auto,7.52,12.97,0.646,50.43,283
06759f3f-3c00-441f-a1d3-3f33cb5793aa,Mumbai,Navi Mumbai,ev,17.83,30.94,0.8005,107.13,63
1adbc213-3d45-4fe8-81fa-872b426321a1,Mumbai,Mumbai,auto,24.46,47.73,3.0661,151.18,244
8b9bea35-225d-4c9b-b9c3-f54653220da8,Mumbai,Mumbai Suburban,ev,27.97,57.71,1.035,127.11,165
401d8881-aa34-46b1-873f-4c47e032724d,South Mumbai,Mumbai,ev,36.38,74.05,1.2995,239.99,96
40889f5e-579e-44de-a138-d4ad7e1fef15,Mumbai Suburban,Navi Mumbai,train,23.7,38.48,1.1024,62.47,258
1d93aa45-6ee7-4c30-befd-2e9006eaf85a,Mumbai,Mumbai Suburban,train,31.18,30.18,1.5082,92.17,88
a0f9bb25-4d02-41c6-9018-17908db8e434,Navi Mumbai,Mumbai,auto,28.91,88.28,2.0781,217.31,166
27e436a2-9042-426f-ad8b-d98094294b8d,Mumbai,Mumbai Suburban,bus,17.18,50.73,1.5903,35.51,206
8d338182-b343-4ce2-8190-8df4e9ebdc43,Navi Mumbai,Mumbai Suburban,walking,12.8,167.9,0.0,0.0,201
a6bf9fe1-d461-4086-82f8-1201673ef3c5,Mumbai Suburban,Mumbai,walking,43.66,521.07,0.0,0.0,137
dd6a2265-e17b-47ee-928c-88a1ffc08ec9,Mumbai Suburban,Mumbai,ev,43.79,80.64,1.3545,292.37,92
428fce66-e474-45f1-bb93-e40a6415d19a,Mumbai,Mumbai Suburban,car,1.29,2.9,0.1964,10.07,125
f0676eec-3621-4891-a4ad-6317bf73db17,Mumbai,Navi Mumbai,train,2.71,3.52,0.164,9.32,145
4b742901-8ca3-432e-87ea-a72b79a0171c,South Mumbai,Navi Mumbai,walking,14.47,144.34,0.0,0.0,236
037dc9e1-2bbe-4363-9fdb-644d4d933aad,Navi Mumbai,Navi Mumbai,ev,47.37,120.85,2.1149,203.77,81
3f45d661-9b01-4d43-9b8f-58eb3856704e,Mumbai,South Mumbai,car,15.53,34.83,1.9286,187.43,74
29836484-692d-48f8-9ad1-837b9fc60cc8,Mumbai,South Mumbai,train,10.17,10.05,0.7294,24.93,79
ef29a752-f084-4bfc-8a65-566d561a4211,Mumbai,South Mumbai,walking,16.2,192.57,0.0,0.0,94
36e7c118-35a0-4ea2-a781-d252db44ebb6,Navi Mumbai,Mumbai,car,5.24,10.63,0.7278,58.48,114
4080274f-bd73-4026-b78b-fff99190e6b6,Mumbai,Navi Mumbai,auto,3.07,5.2,0.1186,25.31,138
a012964e-3424-46a0-a7da-8d2424b27315,Mumbai,South Mumbai,auto,20.51,56.7,2.196,184.19,170
e648bf5d-b5c1-4f69-a130-7b3cf2e6e30a,South Mumbai,Navi Mumbai,train,26.89,33.18,0.7188,87.18,199
3c421544-faa7-411f-851e-f6edd311f8da,Mumbai,Mumbai,car,20.41,34.45,2.9383,148.19,99
1d9674cb-fd48-481f-b360-d2d4a141ca6c,Navi Mumbai,South Mumbai,auto,9.13,23.29,1.6566,63.46,141
2ed57afd-c78d-4edd-a8c7-380f3d58c6c5,Mumbai,Navi Mumbai,train,49.09,59.46,4.6221,145.93,196
11efd835-28e5-4a90-a16a-814e9d9c6f3d,Navi Mumbai,Mumbai,car,18.78,35.9,2.403,139.98,146
ba48109c-b281-4d5a-902f-5851153eec76,Mumbai,Mumbai,ev,20.62,32.73,0.3732,124.04,234
3f067ea0-6de3-4b20-b4ff-490d2bffd6f9,South Mumbai,South Mumbai,train,20.35,33.1,1.4807,52.95,277
3b74b813-5e09-4668-9893-067be9179a34,South Mumbai,Mumbai,ev,47.45,116.99,2.3032,342.44,240
91f6d1b8-2481-48b7-b97d-48dfefef86c2,Navi Mumbai,Mumbai,train,21.19,25.85,0.2831,52.93,154
627415ca-a9a2-4290-9e88-42c51154ff0b,Mumbai,Mumbai,walking,35.97,348.11,0.0,0.0,131
1ca3382b-5012-4aa9-bd96-1b028a490b71,Navi Mumbai,Mumbai,walking,28.25,303.89,0.0,0.0,145
6e82760b-867a-42d6-a30f-283e100e490c,Mumbai,Mumbai Suburban,car,23.53,34.67,2.4098,259.98,78
d6b11544-372e-4433-b37e-fb1566364ad7,Mumbai Suburban,Mumbai Suburban,ev,34.14,69.91,1.4071,209.42,67
e62a75d2-dc19-4920-b6cf-0179c46a788a,Navi Mumbai,South Mumbai,train,30.47,40.45,1.47,81.15,138
25168145-e8fa-43c1-8cf2-dcbbfecf39b8,South Mumbai,South Mumbai,walking,11.56,153.68,0.0,0.0,238
b41228ea-f068-4c66-bc9f-c37c6a408418,Navi Mumbai,Mumbai Suburban,train,45.15,74.4,2.7552,139.34,166
760af503-929e-4678-b361-2045c1d801d1,Mumbai Suburban,Mumbai Suburban,walking,29.27,444.23,0.0,0.0,204
6c58a7b9-b21c-43c9-ba94-2e8d8d870952,Mumbai,Mumbai,walking,11.86,161.26,0.0,0.0,167
794e0a7c-6838-41eb-addd-d40edc2b4dc4,South Mumbai,Mumbai,ev,41.55,94.03,1.9098,234.21,106
d3c746db-1efe-418e-ae6f-72c93d053aee,South Mumbai,Mumbai,auto,2.64,6.74,0.2112,17.54,95
741811f4-682b-4e2e-b786-3e3cd087cf4d,Mumbai,Mumbai,auto,45.49,94.51,5.8202,304.34,116
25092a85-219d-4573-bbc0-325876eb1920,Mumbai,Mumbai Suburban,ev,39.19,60.81,1.5383,290.63,132
7466aab9-65e7-49bf-8fcc-55491f051e44,Mumbai Suburban,Mumbai,bus,24.41,82.6,1.6769,62.3,71
2cc6e33f-ffe3-47ba-a7c7-e11b5ec3edb8,Mumbai,Navi Mumbai,ev,34.23,82.02,1.695,200.82,147
fa3f4a0d-6d71-4655-a5ef-38c664dff37c,Mumbai,Mumbai,walking,3.71,42.66,0.0,0.0,82
15c4715c-b615-4cac-8316-a907889a4ba4,Mumbai,South Mumbai,bus,5.58,12.63,0.392,11.27,99
83bcb013-5f9a-4ae3-9256-9f6c54cf0145,Mumbai,Navi Mumbai,bus,11.87,23.93,0.7771,25.7,210
0382d3f8-0dde-46ba-98d3-f8e8747cd384,Mumbai,Navi Mumbai,train,30.61,42.25,1.7183,90.26,251
9d62a418-3d28-49aa-b91e-79f5cdadc7fe,Mumbai,Mumbai,car,7.43,10.26,0.6893,86.24,165
8b2b83ec-4abd-4226-a3d0-d1212f2ea466,Mumbai,Mumbai,bus,7.84,23.0,0.5809,13.53,132
45941663-cdcb-4981-a307-abd3d21d6181,Mumbai,Navi Mumbai,auto,45.01,110.89,5.6719,395.12,109
f7f20177-73a7-4566-8ea6-4ff959b80496,Mumbai,Mumbai,car,15.43,27.71,1.5981,186.61,142
503c3898-ed09-40d7-9614-63ae503b683c,Mumbai,Mumbai,auto,3.03,5.06,0.257,22.31,155
a6d847ae-e7fb-4bb2-b22d-9990c65109da,Mumbai,South Mumbai,walking,9.74,92.34,0.0,0.0,166
5b0d892a-0629-4236-af48-e6d366ea9c84,Mumbai,Mumbai,car,38.07,59.89,4.1828,460.04,162
45871c71-9431-491f-9823-e2d571b8477f,Mumbai,Mumbai,car,31.62,74.21,3.6157,251.36,104
8dd1d3f4-9ae6-4847-9a2b-8af97a26fdd3,Navi Mumbai,Mumbai,ev,43.89,83.07,1.6334,313.92,158
9e114d7f-8190-458c-b7c0-5500fa377b52,Navi Mumbai,Mumbai,car,33.15,43.79,3.2757,283.0,100
44e521eb-b901-4ac2-88d3-872e40b94a01,Mumbai,Mumbai Suburban,auto,9.73,17.44,0.8782,89.09,219
3ba723a9-d8b7-47d8-afaf-e17ef3868e41,Mumbai,Mumbai,walking,34.96,358.74,0.0,0.0,118
f29109fe-3a20-4f60-a45d-c280e88d1d10,Navi Mumbai,Mumbai Suburban,walking,37.06,543.74,0.0,0.0,192
e1773466-a2a8-4eea-9c99-b1f44c15e496,Mumbai,Mumbai,car,4.03,8.12,0.4809,38.95,187
d9e34642-a015-4c5b-9826-bdd69826add1,Mumbai,Mumbai,bus,21.01,44.83,1.4321,32.77,209
1924e970-4665-4faf-bc0f-c1d42082245b,Navi Mumbai,Mumbai,walking,23.47,401.05,0.0,0.0,117
df2b56cd-effa-4126-8db1-31e9872eac8b,Mumbai,Mumbai,bus,35.56,71.22,2.5882,57.22,76
35266648-926e-4a3e-bc5d-ae9f61c8a3a3,South Mumbai,Mumbai,car,18.42,35.26,2.6273,138.56,121
c44e3b8b-c555-4e51-828f-2b7831c8ce49,Mumbai Suburban,South Mumbai,car,20.23,36.89,2.8482,255.07,187
521f6f11-1c94-4be6-9c92-4d391c245aff,Mumbai Suburban,Mumbai,ev,41.18,149.9,1.52,243.73,169
8f8d5dd9-9f84-4367-917d-e04a76d6a1a6,Mumbai Suburban,Mumbai,train,43.69,56.68,2.2104,110.49,151
79bff14a-8815-445f-9e1b-99c67f085dc1,Mumbai,Mumbai,auto,37.66,93.69,3.5502,388.04,128
5077b80e-94a5-4632-b655-5682c187ddff,Mumbai,Mumbai,car,2.74,6.67,0.3806,27.94,182
b81217d0-737a-4825-8727-20eac667338c,Mumbai,Mumbai,auto,17.76,44.22,1.8263,103.05,94
f2517595-cab8-463d-b700-08152e630c29,Navi Mumbai,Mumbai,walking,7.79,80.29,0.0,0.0,144
7bafe7cf-5c7e-45b8-92ce-a7f8b3943f2b,Navi Mumbai,Navi Mumbai,train,26.28,33.78,1.594,60.9,135
36c41c6e-b4be-4c20-a1c5-cd448c3a4fa8,Navi Mumbai,Mumbai,auto,18.86,34.85,1.6917,121.26,247
25efa5fc-7956-43e3-a094-75c900e0f049,Mumbai,South Mumbai,auto,22.16,37.92,2.1339,155.34,90
385b260e-0cc3-409d-aa42-97f66943bcea,Mumbai,Mumbai,bus,28.69,62.34,2.5831,44.16,121
c094fd95-811f-4e72-ab35-3bc0f1ee8346,Mumbai Suburban,Mumbai Suburban,walking,9.49,96.29,0.0,0.0,195
31d21d02-0e78-4933-bd21-1ed97ed8a270,Mumbai,Navi Mumbai,ev,13.29,28.7,0.6518,60.67,285
73e52dbb-143c-4631-9720-eb004c16cb16,Mumbai,Mumbai Suburban,ev,3.39,8.64,0.116,16.27,236
0ce1b25e-e8e4-426e-840e-a6b127e17e58,Mumbai,Mumbai,bus,1.32,2.89,0.078,2.61,127
442f71e4-e547-4d6e-8e9f-aae5d888999e,Mumbai,Mumbai,bus,47.77,116.19,4.8406,93.58,257
9c6cd1f0-ce6e-450d-9449-c50d67656fc6,Mumbai,Mumbai,ev,45.34,82.69,1.7161,340.94,206
354d6a1d-a4b3-4f0a-9d5e-4ed25c0de45b,Mumbai,Mumbai,car,16.95,25.14,1.4811,132.14,213
3d6e8d1c-9314-48df-adfb-8081920a5277,Navi Mumbai,Navi Mumbai,bus,8.21,25.57,0.6315,17.66,149
24be99ab-5053-4b6e-825b-af4e84001cbf,Mumbai,Mumbai,car,9.47,15.71,0.9057,67.7,164
c9129ca7-97c5-46be-b3b4-fb47b3a413fd,Mumbai,Mumbai,bus,6.59,16.92,0.6112,9.65,235
b7fab21c-3d94-42ff-9832-7a805762b75f,Mumbai,Mumbai,ev,49.68,80.89,0.5526,370.44,137
bf63d9e1-a774-4397-b248-bc2a4ea5d9d1,Mumbai,Mumbai Suburban,train,25.65,27.38,1.4124,67.88,175
c939003f-15c5-40ee-a247-d1c8dcf1a8ab,Mumbai,Mumbai Suburban,auto,25.13,51.59,3.2381,254.75,166
aeffd69c-ef00-4b6a-a17a-46694f318a13,Mumbai,Mumbai Suburban,car,31.7,43.33,3.269,305.77,228
ce968512-f87f-4734-b4a1-2f40210c0634,Navi Mumbai,South Mumbai,train,36.18,42.72,1.9932,90.41,114
e301020a-d12d-4fd0-8336-37b7a3b4a590,Mumbai,Mumbai,car,40.15,71.8,5.9435,376.61,83
9ae969f8-27f3-4e21-aed9-b29bfed4bd32,Mumbai Suburban,Navi Mumbai,walking,13.82,166.75,0.0,0.0,113
ca787f32-a62c-43f2-a838-2ff4dd67781a,Navi Mumbai,South Mumbai,auto,25.63,65.55,2.9803,231.44,137
13528d7f-9eef-42a1-abbd-1bde51bde473,South Mumbai,Mumbai,auto,49.91,89.53,5.7004,310.67,185
43c391fa-31b3-47de-a86a-dba3442472f1,South Mumbai,Mumbai,auto,37.3,71.98,4.8035,299.01,113
f1660beb-9634-4771-8380-838478c65b91,Mumbai Suburban,South Mumbai,train,41.97,43.05,1.69,138.21,92
4fbc699b-1e6b-4889-87ec-0f711ee5652f,Mumbai Suburban,Mumbai,bus,4.92,14.26,0.4525,8.85,247
db792d14-7179-456a-8087-7873ade4b114,South Mumbai,Mumbai,car,13.22,31.21,1.7926,116.69,268
487ba9d1-8731-416f-80a1-5c1f8f3906aa,South Mumbai,Mumbai,auto,43.52,80.64,4.815,364.14,177
ea70987b-ee13-4688-95d5-e39b923e643d,Mumbai,Mumbai,walking,47.3,569.42,0.0,0.0,193
ce3408ca-008b-4ab2-812c-682916a859ef,Mumbai,Mumbai,bus,36.87,101.14,3.066,77.1,121
9cce05d7-34ba-4015-b8e1-7060f3a495e1,Mumbai Suburban,Mumbai Suburban,bus,21.46,40.54,1.43,45.72,127
df474356-fae3-4133-9292-9c06ef73a09f,Mumbai,Navi Mumbai,auto,24.05,64.43,1.9066,158.63,176
51e28afa-89ce-45cc-aa38-15071e1c1f5d,Mumbai Suburban,Mumbai,ev,34.96,81.38,1.1561,269.18,103
7f0a461d-4ca1-477c-8a0a-79ef1b87dd7f,Mumbai,Mumbai,auto,45.58,143.32,4.6514,379.66,118
145e5c9b-1a2d-41cc-b9d6-745ca06c8580,Navi Mumbai,Mumbai,auto,26.92,55.08,3.0608,154.69,291
17a02f88-f865-424f-b4c0-7a67937732bd,Navi Mumbai,Mumbai,ev,35.59,91.74,1.7967,275.72,102
717a51cf-ac32-4525-9f58-6a5e3b1ff6c3,South Mumbai,Mumbai Suburban,auto,46.45,103.66,4.2271,455.36,93
4558ab68-743b-40ab-9ba5-1843a9cb4330,South Mumbai,Mumbai Suburban,ev,21.8,33.91,0.7546,164.62,100
ecf2c7ce-df87-4b45-b7e4-53c766571d0a,Mumbai Suburban,Mumbai,bus,19.71,49.99,1.8177,36.9,258
abcb54b4-5b51-4047-8419-0d26fb7b1df9,South Mumbai,Mumbai,walking,33.16,499.91,0.0,0.0,100
25c16f47-4d0f-41d9-9c9f-2edfe7b11007,Mumbai,Mumbai Suburban,train,22.4,25.1,1.3802,78.69,140
82896340-9ac8-493c-8165-865c73e894cd,Navi Mumbai,Navi Mumbai,ev,24.68,51.23,0.8125,136.33,157
498ae352-3a55-4cc1-b3b3-2516cf3ae7b6,South Mumbai,Mumbai,auto,38.03,109.36,2.7401,224.45,157
0ce3dff3-5a2c-4748-bcc9-0099de835fc7,Mumbai Suburban,Mumbai,car,41.23,73.42,5.1777,519.35,136
92dd0c32-70a1-4ef3-a050-cffab27439fe,Mumbai,Mumbai,walking,24.97,279.39,0.0,0.0,225
8c5a097f-8817-4cde-acef-3be051de7664,Mumbai,Mumbai,auto,38.41,82.03,3.035,353.34,86
55fa2942-fb61-4042-a85b-ae7612f743f4,Mumbai,Mumbai,ev,26.19,51.85,1.2237,186.27,64
42443de2-f409-4386-99d6-6e2305799ab3,South Mumbai,Mumbai,bus,10.67,41.13,0.6592,15.9,105
ac7acd6d-c17a-41d0-a819-b9bce9ed12b5,South Mumbai,Mumbai,bus,42.07,118.92,3.1242,64.61,188
21839b5f-fdaa-4b37-bb1e-221eb7d50e1b,Mumbai,Navi Mumbai,walking,18.93,188.85,0.0,0.0,78
80e92d78-90be-463e-bf5d-81f868ccf7cf,Mumbai,Mumbai Suburban,walking,37.23,453.7,0.0,0.0,194
993c7ecb-d9cb-4a66-b8a0-ffbc412f7078,Navi Mumbai,Mumbai,walking,49.95,504.89,0.0,0.0,226
a5d78f9b-9092-411c-b0d3-e47f436cb865,Mumbai,Navi Mumbai,train,36.82,41.57,1.5596,143.34,78
b2fe3f23-ce89-41fe-b8a0-a2ba954b56ac,Navi Mumbai,Navi Mumbai,walking,43.35,726.54,0.0,0.0,123
fdb8354a-635c-4843-acf4-72cc7b61afe9,Mumbai,Mumbai,bus,38.58,114.92,3.3515,67.3,145
16b78a90-3733-48ef-87c8-40929a2bef5f,South Mumbai,Mumbai,auto,43.27,131.54,4.8882,383.27,191
4797d845-839c-4bbb-8856-1b5bbc0d0281,Mumbai Suburban,Mumbai,walking,37.14,364.91,0.0,0.0,249
046f08c2-8cf0-47c0-bfd1-fed17dd5847a,Navi Mumbai,Mumbai,car,37.9,64.88,3.6884,320.47,161
1f662a8f-a52b-4dc3-ad54-cfd939d650db,Mumbai Suburban,Mumbai,auto,25.82,65.44,3.3045,219.8,192
646a2b6a-faea-476f-b9fa-a30ad06f691c,Mumbai,Navi Mumbai,walking,37.17,492.23,0.0,0.0,78
89affa3b-7d6e-4a7f-8c1f-d566ec292d5f,Mumbai,Mumbai Suburban,auto,25.48,51.26,2.6414,222.14,136
77d481a9-3037-4550-97e0-ef7ba6215156,Mumbai Suburban,Mumbai Suburban,ev,10.81,22.62,0.4128,78.97,135
69243ce5-fcec-46d4-b007-9dd8a1e81024,South Mumbai,Mumbai,car,26.98,36.64,3.2197,206.24,116
5cd0f8f5-e80d-4175-997e-e9316fd0042e,Navi Mumbai,Navi Mumbai,walking,41.67,405.28,0.0,0.0,71
8ab47dba-321d-4193-b3f0-c420c48b7bc1,Mumbai,Navi Mumbai,car,49.81,79.49,9.3964,605.1,195
0b42dbd6-3e53-4ef2-8ccc-a7b2010f2b3d,Mumbai Suburban,Mumbai,walking,12.99,180.8,0.0,0.0,111
848d0de6-4bef-47e2-af51-5be32ce3dd11,Mumbai,Navi Mumbai,train,11.62,14.77,0.6848,32.17,168
a6d40d34-4bd1-4e3a-b9fc-081e6563a18a,South Mumbai,Mumbai,walking,20.2,225.18,0.0,0.0,149
a4ac7156-34a0-49b0-9fe6-ea1526745f17,South Mumbai,South Mumbai,auto,33.17,68.02,3.6089,335.63,198
8559ebf7-9f1e-4dc1-8570-f5e46cb62f72,Navi Mumbai,Navi Mumbai,walking,36.9,389.39,0.0,0.0,61
4e411fd3-5502-4025-85d9-16c12a4ece1c,Mumbai Suburban,South Mumbai,walking,36.54,471.4,0.0,0.0,284
fe9341b6-4488-4e82-a932-f879a4fa9a0f,Mumbai,Mumbai,ev,37.12,42.47,1.8529,195.77,216
d682b8d6-9237-4145-892d-7ad46557705d,Mumbai,Mumbai Suburban,train,36.01,37.32,2.0908,113.86,97
f83b24a8-20a3-4f73-9e8f-ec2d646b4b2c,South Mumbai,Mumbai,car,14.68,27.11,1.4478,130.75,263
eef5696b-dd8e-4727-a04f-182035a52661,Mumbai Suburban,Mumbai,auto,19.03,31.72,2.1938,180.73,230
2cf23163-b23d-4991-9750-b452ad092e68,Mumbai,Mumbai,bus,37.14,110.93,2.5614,79.63,187
f97a9529-c7cc-47da-a6a2-134db000e1f4,Mumbai Suburban,Navi Mumbai,car,11.69,20.7,1.66,117.65,154
aad4ab0b-6fe1-402c-b7f4-b23581c5bf06,Mumbai,Mumbai,ev,48.13,80.57,2.8763,208.21,187
d3c0b111-7155-4f2b-95fd-6480e400e41c,Mumbai Suburban,Mumbai,walking,39.63,560.11,0.0,0.0,87
4657be98-6367-4214-8242-d725a0256acf,Mumbai,Mumbai,bus,10.8,30.88,1.0596,24.53,258
4b53033d-0eb9-4aff-86c1-c8e1a0730e0f,Mumbai,South Mumbai,walking,2.2,26.76,0.0,0.0,246
3527f633-85b5-4197-99db-249288de3a9a,Mumbai,Navi Mumbai,auto,30.33,58.48,2.9508,213.41,70
90152985-5415-49fa-9ea1-cb1ab906dea5,Mumbai,Mumbai,ev,12.83,32.95,0.3626,99.05,136
d39b36d7-2ba9-495b-9c80-b8603a590c94,Navi Mumbai,Mumbai,bus,2.37,7.18,0.24,5.23,172
259d732c-18f9-4608-81ef-741d84b06c05,Mumbai,South Mumbai,car,30.67,74.53,5.2769,240.9,83
566819ed-495f-4a60-b066-78127450cd5b,Mumbai,Mumbai,train,14.48,14.93,0.9688,37.69,156
f63b23b7-cbda-4201-b151-c6df0f6e3392,Mumbai,South Mumbai,walking,6.26,114.91,0.0,0.0,133
cdd527de-6f64-45fc-8450-3cc0c6d67304,South Mumbai,Mumbai Suburban,auto,41.15,72.4,3.6978,251.78,123
7eba2798-ce6e-459b-b482-9af03269a874,Mumbai Suburban,South Mumbai,walking,49.88,622.48,0.0,0.0,223
604fc09d-d648-46ca-946a-2d29cb4baa66,Mumbai Suburban,South Mumbai,walking,31.68,330.72,0.0,0.0,119
e08736f7-232b-49fb-81ce-75fa2703c1b7,South Mumbai,Mumbai,bus,21.13,39.98,1.842,44.81,149
438ee2fd-0d6f-4856-8c81-d2f014d4e995,Mumbai,South Mumbai,bus,7.53,16.36,0.7158,15.19,150
2d1bf1ff-315f-4d25-b4eb-d0b10b65f79e,South Mumbai,Mumbai,auto,35.77,94.65,3.595,343.95,119
